Country,Code,Year,Inbound arrivals of tourists
Albania,ALB,2019,6128000.0
American Samoa,ASM,2019,19200.0
Andorra,AND,2019,3090000.0
Angola,AGO,2019,218000.0
Anguilla,AIA,2019,95000.0
Antigua and Barbuda,ATG,2019,301000.0
Argentina,ARG,2019,7399000.0
Armenia,ARM,2019,1894000.0
Aruba,ABW,2019,1119000.0
Austria,AUT,2019,31884000.0
Azerbaijan,AZE,2019,2876000.0
Bahamas,BHS,2019,1807000.0
Bahrain,BHR,2019,3849000.0
Bangladesh,BGD,2019,323000.0
Barbados,BRB,2019,523000.0
Belarus,BLR,2019,2206000.0
Belgium,BEL,2019,9343000.0
Belize,BLZ,2019,503000.0
Benin,BEN,2019,309000.0
Bermuda,BMU,2019,269000.0
Bhutan,BTN,2019,316000.0
Bolivia,BOL,2019,1239000.0
Bosnia and Herzegovina,BIH,2019,1198000.0
Botswana,BWA,2019,1454600.0
Brazil,BRA,2019,6353000.0
British Virgin Islands,VGB,2019,302400.0
Brunei,BRN,2019,333000.0
Bulgaria,BGR,2019,7775000.0
Burkina Faso,BFA,2019,143000.0
Cambodia,KHM,2019,6611000.0
Canada,CAN,2019,22145000.0
Cape Verde,CPV,2019,758000.0
Cayman Islands,CYM,2019,503000.0
Central African Republic,CAF,2019,87000.0
Chad,TCD,2019,79000.0
Chile,CHL,2019,4518000.0
China,CHN,2019,65725000.0
Colombia,COL,2019,4169000.0
Comoros,COM,2019,45100.0
Cook Islands,COK,2019,172000.0
Costa Rica,CRI,2019,3139000.0
Croatia,HRV,2019,17353000.0
Cuba,CUB,2019,4263000.0
Curacao,CUW,2019,464000.0
Cyprus,CYP,2019,3977000.0
Czechia,CZE,2019,14651000.0
Democratic Republic of Congo,COD,2019,479000.0
Denmark,DNK,2019,14725000.0
Djibouti,DJI,2019,167000.0
Dominica,DMA,2019,90000.0
Dominican Republic,DOM,2019,6446000.0
East Timor,TLS,2019,80800.0
Egypt,EGY,2019,12876000.0
El Salvador,SLV,2019,1766000.0
Estonia,EST,2019,3336000.0
Eswatini,SWZ,2019,680000.0
Ethiopia,ETH,2019,812000.0
Fiji,FJI,2019,894000.0
Finland,FIN,2019,3290000.0
France,FRA,2019,90914000.0
French Polynesia,PYF,2019,237000.0
Gambia,GMB,2019,620000.0
Georgia,GEO,2019,5080400.0
Germany,DEU,2019,39563000.0
Ghana,GHA,2019,1130000.0
Greece,GRC,2019,31348400.0
Grenada,GRD,2019,188000.0
Guam,GUM,2019,1667000.0
Guatemala,GTM,2019,1752400.0
Guinea-Bissau,GNB,2019,52400.0
Guyana,GUY,2019,315000.0
Haiti,HTI,2019,286000.0
Honduras,HND,2019,724000.0
Hong Kong,HKG,2019,23752000.0
Hungary,HUN,2019,16937000.0
Iceland,ISL,2019,2013000.0
India,IND,2019,17754000.0
Indonesia,IDN,2019,15455000.0
Ireland,IRL,2019,10951000.0
Israel,ISR,2019,4552000.0
Italy,ITA,2019,64513000.0
Jamaica,JAM,2019,2681000.0
Jordan,JOR,2019,4488400.0
Kiribati,KIR,2019,7900.0
Kuwait,KWT,2019,153000.0
Kyrgyzstan,KGZ,2019,235000.0
Laos,LAO,2019,4384000.0
Latvia,LVA,2019,1935000.0
Lebanon,LBN,2019,1936000.0
Liechtenstein,LIE,2019,98100.0
Lithuania,LTU,2019,2875000.0
Luxembourg,LUX,2019,1041000.0
Macao,MAC,2019,18633000.0
Madagascar,MDG,2019,384000.0
Malawi,MWI,2019,978000.0
Malaysia,MYS,2019,26101000.0
Maldives,MDV,2019,1703000.0
Mali,MLI,2019,217000.0
Malta,MLT,2019,2753000.0
Marshall Islands,MHL,2019,6100.0
Martinique,MTQ,2019,556000.0
Mauritius,MUS,2019,1383000.0
Mexico,MEX,2019,45024000.0
Micronesia (country),FSM,2019,18000.0
Moldova,MDA,2019,174000.0
Monaco,MCO,2019,363000.0
Mongolia,MNG,2019,577000.0
Montenegro,MNE,2019,2510000.0
Montserrat,MSR,2019,10400.0
Morocco,MAR,2019,12932000.0
Mozambique,MOZ,2019,2019000.0
Myanmar,MMR,2019,4364000.0
Namibia,NAM,2019,1596000.0
Nepal,NPL,2019,1197000.0
Netherlands,NLD,2019,20129000.0
New Caledonia,NCL,2019,131000.0
New Zealand,NZL,2019,3702000.0
Nicaragua,NIC,2019,1295000.0
Niger,NER,2019,192000.0
Nigeria,NGA,2019,2005000.0
Niue,NIU,2019,10200.0
North Macedonia,MKD,2019,758000.0
Northern Mariana Islands,MNP,2019,484000.0
Norway,NOR,2019,5879000.0
Oman,OMN,2019,2500000.0
Palau,PLW,2019,94000.0
Palestine,PSE,2019,1110000.0
Panama,PAN,2019,1753000.0
Papua New Guinea,PNG,2019,160000.0
Paraguay,PRY,2019,1216000.0
Peru,PER,2019,4372000.0
Philippines,PHL,2019,8261000.0
Poland,POL,2019,21158000.0
Portugal,PRT,2019,17283000.0
Puerto Rico,PRI,2019,3180000.0
Reunion,REU,2019,533600.0
Rwanda,RWA,2019,1544000.0
Saint Kitts and Nevis,KNA,2019,120000.0
Saint Lucia,LCA,2019,424000.0
Saint Vincent and the Grenadines,VCT,2019,84000.0
Samoa,WSM,2019,172000.0
San Marino,SMR,2019,111000.0
Sao Tome and Principe,STP,2019,34900.0
Saudi Arabia,SAU,2019,17526000.0
Serbia,SRB,2019,1847000.0
Seychelles,SYC,2019,384000.0
Sierra Leone,SLE,2019,63000.0
Singapore,SGP,2019,15119000.0
Sint Maarten (Dutch part),SXM,2019,320000.0
Slovakia,SVK,2019,5630000.0
Slovenia,SVN,2019,4702000.0
Solomon Islands,SLB,2019,28900.0
South Africa,ZAF,2019,10227500.0
Spain,ESP,2019,83509000.0
Sri Lanka,LKA,2019,1914000.0
Sweden,SWE,2019,7616000.0
Switzerland,CHE,2019,11818000.0
Tanzania,TZA,2019,1443000.0
Thailand,THA,2019,39916000.0
Togo,TGO,2019,876000.0
Tonga,TON,2019,67300.0
Trinidad and Tobago,TTO,2019,388600.0
Tunisia,TUN,2019,9429000.0
Turkey,TUR,2019,51192000.0
Turks and Caicos Islands,TCA,2019,487000.0
Tuvalu,TUV,2019,3700.0
Uganda,UGA,2019,1543000.0
Ukraine,UKR,2019,13438000.0
United Arab Emirates,ARE,2019,21561000.0
United Kingdom,GBR,2019,39418000.0
United States,USA,2019,79442000.0
United States Virgin Islands,VIR,2019,514000.0
Uruguay,URY,2019,3059000.0
Vanuatu,VUT,2019,120600.0
Zambia,ZMB,2019,1266000.0
